lat,lon,altitude_m,inside_receiver_hull,condition,linear_hrmse_0_25us_m,remote_branch_separation_us,mc_p50_0_1us_m,mc_p95_0_1us_m,mc_p50_0_25us_m,mc_p95_0_25us_m,mc_p50_0_5us_m,mc_p95_0_5us_m,mc_p50_1_0us_m,mc_p95_1_0us_m,class
17.6,104.9,10000,False,31.92005456432971,12602.586387070014,1.6465757931302154,3262.2386482101074,8644.956144652268,8155.596620525268,21612.390361630674,16311.193241050536,43224.78072326135,32622.386482101072,86449.5614465227,VERY POOR
17.6,105.0,10000,False,20.65992165370472,7304.376871999492,2.2759969354580885,2013.8250512375762,5172.896352465639,5034.5626280939405,12932.240881164098,10069.125256187881,25864.481762328196,20138.250512375762,51728.96352465639,VERY POOR
17.6,105.1,10000,False,16.1033746396996,5021.690104869812,2.113258712497043,1393.9782355189823,3673.5892023139727,3484.945588797456,9183.973005784932,6969.891177594912,18367.946011569864,13939.782355189824,36735.89202313973,VERY POOR
17.6,105.2,10000,False,13.920987396307298,3803.769216320861,2.9397742204695247,1059.4487213938053,2730.6993510295147,2648.6218034845133,6826.748377573786,5297.243606969027,13653.496755147571,10594.487213938053,27306.993510295142,VERY POOR
17.6,105.3,10000,False,12.802536445210892,3065.162854609745,4.501969359785947,821.65480091053,2200.517653856429,2054.137002276325,5501.294134641073,4108.27400455265,11002.588269282145,8216.5480091053,22005.17653856429,VERY POOR
17.6,105.4,10000,False,12.2357043817882,2578.553288633955,5.400215445454212,696.5139770784581,1888.9632401374827,1741.2849426961452,4722.408100343706,3482.5698853922904,9444.816200687412,6965.139770784581,18889.632401374824,POOR
17.6,105.5,10000,False,11.987102861134026,2240.182418991374,4.650650071477709,612.4483428839524,1646.289246283055,1531.1208572098808,4115.723115707637,3062.2417144197616,8231.446231415273,6124.483428839523,16462.892462830547,POOR
17.6,105.6,10000,False,11.940025658083833,1996.9739631882542,4.239875437029633,540.4187837069894,1469.359081439164,1351.0469592674735,3673.3977035979096,2702.093918534947,7346.795407195819,5404.187837069894,14693.590814391639,POOR
17.6,105.7,10000,False,12.033201415518397,1819.3284548039996,5.618691901653199,474.3037038339327,1331.2735579117439,1185.7592595848316,3328.1838947793594,2371.5185191696633,6656.367789558719,4743.0370383393265,13312.735579117438,POOR
17.6,105.8,10000,False,12.234501109386885,1689.5992189661342,7.939588972833493,436.81783092299986,1247.6006764523306,1092.0445773074996,3119.0016911308267,2184.089154614999,6238.003382261653,4368.178309229998,12476.006764523307,POOR
