surveillance,layout,span_km,rotation_deg,target_points,inside_hull_fraction,condition_median,condition_p90,condition_p95,all4_visible_300km_fraction,all4_visible_350km_fraction,geometry_good_fraction,mc_p95_0_1us_median_m,mc_p95_0_1us_p90_m,mc_p95_0_25us_median_m,mc_p95_0_25us_p90_m,mc_p95_0_5us_median_m,mc_p95_0_5us_p90_m,mc_p95_1_0us_median_m,mc_p95_1_0us_p90_m,deployment_score_300,deployment_score_350,remote_branch_separation_median_us,remote_branch_separation_p10_us,remote_branch_below_0_5us_fraction
specified_polygon,irregular,250,60,232,0.28879310344827586,2.757466777681328,5.580969484911869,6.283697990490349,0.9439655172413793,1.0,0.9568965517241379,117.2333413291151,333.11529073543403,293.08335332278773,832.7882268385849,586.1667066455755,1665.5764536771699,1172.333413291151,3331.1529073543397,0.9032773483947681,0.9568965517241379,46.11934860238877,20.7320375566031,0.0
specified_polygon,irregular,300,60,232,0.4224137931034483,1.9382358362127161,4.073689493736622,4.5054712556490335,0.8491379310344828,0.9913793103448276,1.0,76.77608401536872,197.1103076071562,191.94021003842178,492.7757690178905,383.88042007684356,985.551538035781,767.7608401536871,1971.103076071562,0.8491379310344828,0.9913793103448276,63.54402001589612,31.054736983137115,0.0
specified_polygon,irregular,400,90,232,0.7068965517241379,1.4552374769801777,2.4792738906482015,3.166222079401992,0.47413793103448276,0.8922413793103449,1.0,59.81678937710684,98.29998094775193,149.54197344276713,245.74995236937988,299.08394688553426,491.49990473875977,598.1678937710685,982.9998094775195,0.47413793103448276,0.8922413793103449,84.6448747725833,48.16393135211893,0.0
specified_polygon,irregular,500,120,232,0.9224137931034483,1.2886479483852704,1.615232391867592,1.824158801566898,0.15086206896551724,0.4956896551724138,1.0,55.28015599346239,66.59330411312823,138.20038998365598,166.48326028282057,276.40077996731196,332.96652056564113,552.8015599346239,665.9330411312823,0.15086206896551724,0.4956896551724138,98.5956129128259,85.71861924864773,0.0
specified_polygon,linear,50,165,232,0.0,23.899536476252948,61.107872400667745,133.01684050944917,1.0,1.0,0.03017241379310345,5993.672708269683,39342.58508722923,14984.181770674211,98356.46271807309,29968.363541348423,196712.92543614618,59936.727082696845,393425.85087229236,0.0,0.0,0.0,0.0,1.0
specified_polygon,linear,100,150,232,0.0,11.378795333953311,36.8458080093238,55.2772063368336,1.0,1.0,0.13793103448275862,1377.0787523865665,14594.788538456041,3442.696880966416,36486.971346140104,6885.393761932832,72973.94269228021,13770.787523865663,145947.88538456042,0.0,0.0,0.0,0.0,1.0
specified_polygon,linear,150,165,232,0.0,7.736533233879376,18.020601253953654,38.80070059072567,0.9956896551724138,1.0,0.30603448275862066,620.6704519640411,3083.7656992632383,1551.6761299101026,7709.414248158094,3103.3522598202053,15418.828496316188,6206.704519640411,30837.656992632375,0.0,0.0,0.0,0.0,1.0
specified_polygon,linear,200,150,232,0.0,6.035074580772083,16.07105856509938,25.91394609922702,0.9956896551724138,1.0,0.5560344827586207,370.521700808995,1286.3232352831567,926.3042520224874,3215.808088207891,1852.6085040449748,6431.616176415782,3705.2170080899496,12863.232352831565,0.0,0.0,0.0,0.0,1.0
specified_polygon,linear,250,120,232,0.0,5.123151972412984,14.93511018520525,30.491941372294264,0.9827586206896551,1.0,0.7801724137931034,259.41389308631403,798.897015519019,648.5347327157851,1997.2425387975477,1297.0694654315703,3994.4850775950954,2594.1389308631406,7988.970155190191,0.0,0.0,0.0,0.0,1.0
specified_polygon,linear,300,105,232,0.0,4.411905024404074,10.408438838351989,19.251021639393763,0.9353448275862069,1.0,0.8793103448275862,208.99299128848924,463.73735794127674,522.4824782212231,1159.343394853192,1044.9649564424462,2318.686789706384,2089.9299128848925,4637.373579412768,0.0,0.0,0.0,0.0,1.0
specified_polygon,linear,400,105,232,0.0,3.88838973972239,9.448253385396285,13.142678213961293,0.6077586206896551,0.9482758620689655,0.9267241379310345,158.11216038197512,293.408483271319,395.2804009549378,733.5212081782975,790.5608019098756,1467.042416356595,1581.1216038197513,2934.08483271319,0.0,0.0,0.0,0.0,1.0
specified_polygon,linear,500,120,232,0.0,3.841164764969126,9.228287657246998,20.066787640732095,0.25,0.6939655172413793,0.9181034482758621,140.48578729472035,269.41960032801416,351.21446823680094,673.5490008200354,702.4289364736019,1347.0980016400708,1404.8578729472038,2694.1960032801417,0.0,0.0,0.0,0.0,1.0
