candidate_lat,candidate_lon,nearest_existing_km,best4_median_hrmse_0_25us_m,best4_p90_hrmse_0_25us_m,worst4_p90_hrmse_0_25us_m,full5_p90_hrmse_0_25us_m,best4_under_1km_fraction,inside_5rx_hull_fraction,four_visible_350km_fraction,five_visible_350km_fraction,is_mongcai,composite_score
21.0,104.7,268.5031123455103,152.56122571983116,555.7076395796131,3009.157592301621,535.1662864348601,1.0,0.3107769423558897,0.7694235588972431,0.5112781954887218,False,66.30563798219585
22.8,104.7,348.6212587558361,121.93416506991387,483.0084612574388,4507.673625910042,465.89344759199105,0.9949874686716792,0.39849624060150374,0.7368421052631579,0.2807017543859649,False,66.2166172106825
20.1,109.5,185.42626876281707,171.64651922803708,421.4689952744338,4982.128708418654,400.52558026792144,0.9699248120300752,0.21553884711779447,0.8070175438596491,0.43609022556390975,False,66.03857566765579
21.9,105.6,229.21148038066744,151.68297315552854,506.24561013173025,4952.956001586816,493.7567245045763,0.9699248120300752,0.2807017543859649,0.8245614035087719,0.5162907268170426,False,66.02373887240356
20.1,108.9,122.7974903134803,191.18181602312234,446.2968974197641,5669.0414086500805,430.98256835486774,0.9699248120300752,0.18796992481203006,0.8270676691729323,0.5513784461152882,False,65.62314540059347
21.0,104.4,281.72509110866656,147.74161755146906,563.9578798996814,2856.440337923188,551.2538771936028,1.0,0.3258145363408521,0.7493734335839599,0.45363408521303256,False,65.48961424332343
20.4,105.3,186.1960335061859,218.03269011559718,583.2739142826067,3187.071677003242,570.2826848338499,0.9724310776942355,0.22305764411027568,0.8270676691729323,0.631578947368421,False,65.10385756676558
22.2,105.6,237.94759412566788,141.5507194406276,496.92419674472814,5566.678110124476,482.46647896943523,0.9699248120300752,0.3032581453634085,0.8145363408521303,0.46867167919799496,False,65.02967359050444
17.4,106.2,161.67616089485986,212.97792467849055,438.2837605246584,2428.945904135648,430.1243429331657,0.9724310776942355,0.18546365914786966,0.7142857142857143,0.38596491228070173,False,64.73293768545993
22.5,105.3,278.82163120890647,128.2413009895749,494.249123089065,5242.84461814619,477.77196474533906,0.9799498746867168,0.3508771929824561,0.7894736842105263,0.39097744360902253,False,64.70326409495549
22.8,105.0,320.83327080821795,123.2685445653132,493.5297856398047,5066.80348599052,487.2461405390488,0.9899749373433584,0.37844611528822053,0.7568922305764411,0.3057644110275689,False,64.65875370919882
18.0,107.4,202.21050779312503,175.18515831617216,492.70282954920225,2305.6214698727144,483.16733228709643,0.9724310776942355,0.20802005012531327,0.731829573934837,0.5112781954887218,False,64.540059347181
19.8,108.6,98.68658348102379,194.6146468249194,471.5447887128457,5714.209450913388,452.3389626171574,0.9674185463659147,0.18796992481203006,0.8370927318295739,0.5864661654135338,False,64.33234421364986
17.4,105.6,151.35778012678375,238.28005889723153,440.6194356543727,2153.4093410720857,437.48358365779154,0.9724310776942355,0.15789473684210525,0.7142857142857143,0.3333333333333333,False,63.99109792284866
20.7,105.0,226.47557493217676,180.19889805481228,570.9191849846944,3103.988924068362,562.2729584517909,0.9899749373433584,0.2681704260651629,0.7919799498746867,0.5764411027568922,False,63.84272997032642
20.7,104.7,237.9258335356394,163.45039075112496,582.3327709225982,3048.3504554133874,573.8729176585449,0.9974937343358395,0.2882205513784461,0.7669172932330827,0.5288220551378446,False,63.753709198813056
18.3,108.0,205.7854542944681,153.60096762283268,476.31609653696376,2576.71408551652,460.6544940593387,0.9598997493734336,0.22807017543859648,0.7593984962406015,0.5112781954887218,False,63.62017804154303
21.6,105.9,194.15525103292856,180.1834000253592,534.0949779537837,5185.222897555714,524.2517493769029,0.9699248120300752,0.24561403508771928,0.8320802005012531,0.5889724310776943,False,63.501483679525215
20.7,104.4,252.78027424754217,155.3048673838841,592.0544569183044,2893.3359342100357,581.1871197413758,1.0,0.3057644110275689,0.7468671679197995,0.47869674185463656,False,63.33827893175075
20.4,109.2,156.7721012260111,195.75563697808286,431.6235136193695,6372.342921678317,421.43750035170336,0.9699248120300752,0.18546365914786966,0.8170426065162907,0.48872180451127817,False,63.13056379821958
20.7,105.6,215.80352084796564,217.7273236019511,547.615613019496,3908.6040032319706,537.0713028171065,0.9598997493734336,0.20802005012531327,0.8446115288220551,0.6466165413533834,False,63.011869436201785
18.0,107.1,173.95554043068617,190.26342591894246,509.4647261876155,2208.908174316043,505.652519486496,0.9724310776942355,0.19298245614035087,0.7268170426065163,0.5288220551378446,False,62.952522255192875
17.4,105.9,153.35784581863618,227.43317339697666,446.64754778274494,2455.1842768841943,437.0226603599303,0.9724310776942355,0.17543859649122806,0.7142857142857143,0.3684210526315789,False,62.92284866468844
21.3,105.9,193.32776365472978,205.71863081681929,534.6777201770587,5022.128126682717,519.9106801065626,0.9674185463659147,0.23057644110275688,0.8395989974937343,0.6190476190476191,False,62.90801186943621
20.7,109.2,164.07401829453116,215.10609547836953,427.4715552079135,8321.080221461907,425.66445420023945,0.9699248120300752,0.16541353383458646,0.8170426065162907,0.48370927318295737,False,62.89317507418398
21.9,105.9,198.94661526224905,164.9394613722625,518.5950416323165,5844.724089201442,507.94904981524326,0.9699248120300752,0.2681704260651629,0.8270676691729323,0.5463659147869674,False,62.86350148367953
18.6,108.3,180.76446358976492,148.1675458783569,449.30574426296477,2919.048550143513,429.8128243498544,0.949874686716792,0.23308270676691728,0.7769423558897243,0.518796992481203,False,62.84866468842729
20.1,108.6,91.49204433465836,214.25920046452913,480.8996346997367,6329.207546798146,469.57673520979387,0.9699248120300752,0.16040100250626566,0.8395989974937343,0.5989974937343359,False,62.6706231454006
22.2,105.9,209.0170940606917,154.5958304313211,520.8292160714856,6904.212886241707,500.28372812723626,0.9699248120300752,0.2882205513784461,0.8195488721804511,0.49122807017543857,False,62.581602373887236
18.0,106.8,147.09238828881593,213.6684530675088,506.25799170507867,2141.3525994119254,495.5757114957288,0.9724310776942355,0.18295739348370926,0.7218045112781954,0.5388471177944862,False,62.52225519287835
17.4,105.3,155.91930221646118,231.6638113804879,432.2372650889824,2307.150164171668,428.6147347066829,0.9724310776942355,0.15037593984962405,0.7117794486215538,0.2982456140350877,False,62.22551928783383
21.0,105.9,196.77331553973474,221.06905275405083,535.9942690338125,4687.902014651461,530.0551514636321,0.9624060150375939,0.21052631578947367,0.8421052631578947,0.6466165413533834,False,62.166172106824924
20.7,109.5,192.7685006432775,201.49826314069932,412.51683892936154,7572.838284973493,409.7942656680076,0.9699248120300752,0.17794486215538846,0.8070175438596491,0.41854636591478694,False,62.12166172106824
