area_size_km,layout,span_km,span_area_ratio,rotation_deg,target_points,inside_hull_fraction,condition_median,condition_p90,condition_p95,all4_visible_300km_fraction,all4_visible_350km_fraction,geometry_good_fraction,mc_p95_0_1us_median_m,mc_p95_0_1us_p90_m,mc_p95_0_25us_median_m,mc_p95_0_25us_p90_m,mc_p95_0_5us_median_m,mc_p95_0_5us_p90_m,mc_p95_1_0us_median_m,mc_p95_1_0us_p90_m,deployment_score_300,deployment_score_350,remote_branch_separation_median_us,remote_branch_separation_p10_us,remote_branch_below_0_5us_fraction
200,square,300,1.5,0,121,1.0,1.3597126425084725,1.6355305036196819,1.6387897265135674,1.0,1.0,1.0,57.302812369844176,65.57102602383395,143.25703092461043,163.92756505958485,286.51406184922087,327.8551301191697,573.0281236984417,655.7102602383394,1.0,1.0,98.359103952873,88.79976822263464,0.0
200,square,400,2.0,90,121,1.0,1.1951143449540969,1.330640002363479,1.3357674130569175,0.7355371900826446,1.0,1.0,53.74505523593082,57.03108315534877,134.36263808982704,142.57770788837192,268.7252761796541,285.15541577674384,537.4505523593082,570.3108315534877,0.7355371900826446,1.0,102.57350274913392,94.94579967704588,0.0
200,square,500,2.5,75,121,1.0,1.1182537668772146,1.2502342458384048,1.2765786798283032,0.19008264462809918,0.768595041322314,1.0,52.86447253672643,54.97597093642863,132.16118134181608,137.4399273410716,264.32236268363215,274.8798546821432,528.6447253672643,549.7597093642864,0.19008264462809918,0.768595041322314,103.69202535723737,100.83500718903393,0.0
200,diamond,50,0.25,90,121,0.04132231404958678,13.041458098935369,40.81144659115731,44.02763368791294,1.0,1.0,0.10743801652892562,1890.0354424884829,7635.176684976348,4725.088606221207,19087.94171244087,9450.177212442413,38175.88342488174,18900.354424884827,76351.76684976347,0.10033467659312889,0.10033467659312889,6.356280390654277,2.7077102627731664,0.06611570247933884
200,diamond,100,0.5,60,121,0.10743801652892562,6.500879137831975,9.905204684535702,11.019681528403979,1.0,1.0,0.4297520661157025,505.32396781580917,872.6902275751802,1263.309919539523,2181.725568937951,2526.619839079046,4363.451137875902,5053.239678158092,8726.902275751803,0.4297520661157025,0.4297520661157025,15.240518961058218,6.077899353696772,0.0
200,diamond,150,0.75,0,121,0.2066115702479339,3.644515927197497,6.037949393641551,6.440261654363986,1.0,1.0,0.9256198347107438,170.32675487099567,385.21132051412604,425.8168871774892,963.028301285315,851.6337743549784,1926.05660257063,1703.2675487099568,3852.11320514126,0.9256198347107438,0.9256198347107438,41.44775907509313,18.240886156230157,0.0
200,diamond,200,1.0,90,121,0.5041322314049587,1.7406443779731726,3.4068228538006493,3.8688525055608616,1.0,1.0,1.0,82.75976702399839,163.56335901283387,206.89941755999598,408.9083975320847,413.79883511999196,817.8167950641694,827.5976702399839,1635.6335901283387,1.0,1.0,54.7002201591278,32.93168275900831,0.0
200,diamond,250,1.25,45,121,0.6694214876033058,1.5332778778947198,2.174817987183976,3.031703887978225,1.0,1.0,1.0,61.999614344072015,92.50681604875112,154.99903586018007,231.26704012187784,309.99807172036014,462.5340802437557,619.9961434407203,925.0681604875114,1.0,1.0,94.66050531220364,76.08745444488746,0.0
200,diamond,300,1.5,135,121,1.0,1.3597126425084727,1.6355305036196819,1.6387897265135676,1.0,1.0,1.0,57.32197854228264,65.68953615881028,143.30494635570662,164.2238403970257,286.60989271141324,328.4476807940514,573.2197854228265,656.8953615881028,1.0,1.0,98.35910395287301,88.79976822263464,0.0
200,diamond,400,2.0,135,121,1.0,1.1951143449540969,1.330640002363479,1.3357674130569166,0.7355371900826446,1.0,1.0,53.745055235930806,57.03108315534879,134.362638089827,142.57770788837198,268.725276179654,285.15541577674395,537.450552359308,570.3108315534879,0.7355371900826446,1.0,102.57350274913392,94.94579967704588,0.0
200,diamond,500,2.5,150,121,1.0,1.118253766877214,1.2502342458384046,1.2765786798283019,0.19008264462809918,0.768595041322314,1.0,52.864472536726424,54.97597093642863,132.16118134181608,137.43992734107158,264.32236268363215,274.87985468214316,528.6447253672643,549.7597093642863,0.19008264462809918,0.768595041322314,103.6920253572369,100.83500718903348,0.0
200,rectangle_2to1,50,0.25,0,121,0.024793388429752067,16.449907852641207,27.011812552434087,35.26990984034931,1.0,1.0,0.09090909090909091,2422.6269517081955,4421.100589129292,6056.567379270488,11052.751472823229,12113.134758540977,22105.502945646458,24226.269517081953,44211.005891292916,0.09090909090909091,0.09090909090909091,5.370131219696689,1.9447591917381748,0.0
200,rectangle_2to1,100,0.5,135,121,0.09090909090909091,8.466358073925898,15.263586051093624,18.01889452934672,1.0,1.0,0.371900826446281,629.8615587973356,1611.5190434118742,1574.653896993339,4028.797608529686,3149.307793986678,8057.595217059372,6298.615587973356,16115.190434118744,0.371900826446281,0.371900826446281,15.450658742174081,7.313783764504956,0.0
200,rectangle_2to1,150,0.75,105,121,0.19008264462809918,4.813912960523405,8.127566476421384,8.65098726378055,1.0,1.0,0.768595041322314,249.68463676887075,515.194941764544,624.2115919221768,1287.9873544113595,1248.4231838443536,2575.974708822719,2496.8463676887072,5151.949417645438,0.768595041322314,0.768595041322314,32.73596455648857,11.828808589950585,0.0
200,rectangle_2to1,200,1.0,45,121,0.371900826446281,2.7306575526963712,5.008031600700998,5.322872329752802,1.0,1.0,1.0,112.36176741294048,230.44663435729433,280.90441853235114,576.1165858932359,561.8088370647023,1152.2331717864718,1123.6176741294046,2304.4663435729435,1.0,1.0,47.66631167264146,25.57330656769962,0.0
200,rectangle_2to1,250,1.25,150,121,0.5041322314049587,2.1403437255190676,3.71754299424805,4.039375548501798,1.0,1.0,1.0,80.03404650289934,148.844205649107,200.08511625724833,372.1105141227675,400.17023251449666,744.221028245535,800.3404650289933,1488.44205649107,1.0,1.0,66.55864149370149,38.38519579210269,0.0
200,rectangle_2to1,300,1.5,60,121,0.6528925619834711,2.0670999119915723,3.143554529567992,3.408013511942539,1.0,1.0,1.0,72.88062848412213,119.1565677583968,182.2015712103053,297.891419395992,364.4031424206106,595.782838791984,728.8062848412212,1191.565677583968,1.0,1.0,69.3825073617364,49.45352411060066,0.0
200,rectangle_2to1,400,2.0,165,121,0.8347107438016529,2.014446639743994,2.4955928216230028,2.650084631281576,0.743801652892562,1.0,1.0,71.29344406669793,90.83180810906214,178.23361016674485,227.07952027265532,356.4672203334897,454.15904054531063,712.9344406669794,908.3180810906213,0.743801652892562,1.0,86.97612224170612,78.77286648204434,0.0
200,rectangle_2to1,500,2.5,45,121,0.9008264462809917,1.9967189346371228,2.353782927577239,2.4694989348875063,0.23140495867768596,0.8347107438016529,1.0,70.77339399714118,84.27811578650717,176.93348499285295,210.69528946626795,353.8669699857059,421.3905789325359,707.7339399714118,842.7811578650718,0.23140495867768596,0.8347107438016529,67.22709793110825,56.968596794507405,0.0
200,triangle_center,50,0.25,120,121,0.01652892561983471,11.827375343179707,19.619897066304507,20.36674838345252,1.0,1.0,0.1487603305785124,1694.5424106834564,3840.318045684153,4236.3560267086405,9600.795114210381,8472.712053417281,19201.590228420762,16945.424106834562,38403.180456841525,0.1487603305785124,0.1487603305785124,6.374100848290613,1.975043421911552,0.0
200,triangle_center,100,0.5,30,121,0.09917355371900827,4.724395013685696,9.394442590642395,11.258319336211859,1.0,1.0,0.5702479338842975,356.6091157756307,1023.0983434683297,891.5227894390767,2557.7458586708244,1783.0455788781535,5115.491717341649,3566.091157756307,10230.983434683298,0.5702479338842975,0.5702479338842975,21.501813933462145,7.65275434434778,0.0
200,triangle_center,150,0.75,60,121,0.2231404958677686,2.540922651884024,5.539882374615623,6.546454926433256,1.0,1.0,0.9173553719008265,118.35705838607683,365.0285603246983,295.89264596519206,912.5714008117459,591.7852919303841,1825.1428016234918,1183.5705838607682,3650.2856032469836,0.9173553719008265,0.9173553719008265,47.62048040607074,18.816002707020143,0.0
200,triangle_center,200,1.0,120,121,0.3305785123966942,1.967108233562041,2.661161498874738,3.0952039559299034,1.0,1.0,1.0,78.81341428447121,132.52976632742153,197.03353571117805,331.32441581855386,394.0670714223561,662.6488316371077,788.1341428447122,1325.2976632742154,1.0,1.0,65.90154419197407,43.22210664785716,0.0
